title,rank,score,users_rated,Popularity,Favorites,Members,animeType,Episodes,status,premiered,studio,source,rating,genres
Fullmetal Alchemist: Brotherhood,1,9.23,952138,4,136780,1563300,TV,64,Finished Airing,Spring 2009,Bones,Manga,R - 17+ (violence & profanity),"Action,Military,Adventure,Comedy,Drama,Magic,Fantasy,Shounen"
Steins;Gate,2,9.12,712645,7,115519,1292179,TV,24,Finished Airing,Spring 2011,White Fox,Visual novel,PG-13 - Teens 13 or older,"Thriller,Sci-Fi"
Hunter x Hunter (2011),3,9.11,564915,20,91400,1007633,TV,148,Finished Airing,Fall 2011,Madhouse,Manga,PG-13 - Teens 13 or older,"Action,Adventure,Fantasy,Shounen,Super Power"
Kimi no Na wa.,4,9.1,716067,16,51597,1090184,Movie,1,Finished Airing,"Aug 26, 2016",CoMix Wave Films,Original,"Aug 26, 2016","Romance,Supernatural,School,Drama"
Shingeki no Kyojin Season 3 Part 2,5,9.09,220016,204,12537,398806,TV,10,Finished Airing,Spring 2019,Wit Studio,Manga,R - 17+ (violence & profanity),"Action,Drama,Fantasy,Military,Mystery,Shounen,Super Power"
Gintama°,6,9.06,96196,352,7376,272571,TV,51,Finished Airing,Spring 2015,Bandai Namco Pictures,Manga,PG-13 - Teens 13 or older,"Action,Comedy,Historical,Parody,Samurai,Sci-Fi,Shounen"
Ginga Eiyuu Densetsu,7,9.05,38412,626,10803,170326,OVA,110,Finished Airing,"Jan 8, 1988 to Mar 17, 1997",Artland,Novel,"Jan 8, 1988 to Mar 17, 1997","Military,Sci-Fi,Space,Drama"
Gintama',8,9.05,113900,355,5127,270490,TV,51,Finished Airing,Spring 2011,Sunrise,Manga,PG-13 - Teens 13 or older,"Action,Sci-Fi,Comedy,Historical,Parody,Samurai,Shounen"
3-gatsu no Lion 2nd Season,9,9.02,71091,676,5887,159761,TV,22,Finished Airing,Fall 2017,Shaft,Manga,PG-13 - Teens 13 or older,"Drama,Game,Seinen,Slice of Life"
Koe no Katachi,10,9.02,493446,53,37659,800095,Movie,1,Finished Airing,"Sep 17, 2016",Kyoto Animation,Manga,"Sep 17, 2016","Drama,School,Shounen"
Gintama': Enchousen,11,8.99,80792,668,1868,161847,TV,13,Finished Airing,Fall 2012,Sunrise,Manga,PG-13 - Teens 13 or older,"Action,Comedy,Historical,Parody,Samurai,Sci-Fi,Shounen"
Clannad: After Story,12,8.98,420308,64,53304,724271,TV,24,Finished Airing,Fall 2008,Kyoto Animation,Visual novel,PG-13 - Teens 13 or older,"Slice of Life,Comedy,Supernatural,Drama,Romance"
Gintama,13,8.97,172250,98,39020,564750,TV,201,Finished Airing,Spring 2006,Sunrise,Manga,PG-13 - Teens 13 or older,"Action,Comedy,Historical,Parody,Samurai,Sci-Fi,Shounen"
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,14,8.96,74251,833,1700,132039,Movie,1,Finished Airing,"Jul 6, 2013",Sunrise,Manga,"Jul 6, 2013","Action,Sci-Fi,Comedy,Historical,Parody,Samurai,Shounen"
Gintama.,15,8.95,58790,814,1623,134220,TV,12,Finished Airing,Winter 2017,Bandai Namco Pictures,Manga,PG-13 - Teens 13 or older,"Action,Comedy,Historical,Parody,Samurai,Sci-Fi,Shounen"
Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,16,8.95,231543,227,6683,373295,TV,10,Finished Airing,Fall 2016,Production I.G,Manga,PG-13 - Teens 13 or older,"Comedy,Sports,Drama,School,Shounen"
Kimetsu no Yaiba,17,8.95,219949,138,17023,476959,TV,26,Finished Airing,Spring 2019,ufotable,Manga,R - 17+ (violence & profanity),"Action,Demons,Historical,Shounen,Supernatural"
Owarimonogatari 2nd Season,18,8.94,75932,582,3872,182079,TV,7,Finished Airing,Summer 2017,Shaft,Light novel,R - 17+ (violence & profanity),"Mystery,Comedy,Supernatural,Vampire"
Code Geass: Hangyaku no Lelouch R2,19,8.93,651799,26,51800,968080,TV,25,Finished Airing,Spring 2008,Sunrise,Original,R - 17+ (violence & profanity),"Action,Military,Sci-Fi,Super Power,Drama,Mecha"
Mob Psycho 100 II,20,8.91,213873,188,9476,407192,TV,13,Finished Airing,Winter 2019,Bones,Web manga,PG-13 - Teens 13 or older,"Action,Slice of Life,Comedy,Supernatural"
Sen to Chihiro no Kamikakushi,21,8.9,613076,40,19252,887536,Movie,1,Finished Airing,"Jul 20, 2001",Studio Ghibli,Original,"Jul 20, 2001","Adventure,Supernatural,Drama"
Haikyuu!! Second Season,22,8.84,284967,145,8568,465192,TV,25,Finished Airing,Fall 2015,Production I.G,Manga,PG-13 - Teens 13 or older,"Comedy,Sports,Drama,School,Shounen"
Kizumonogatari III: Reiketsu-hen,23,8.84,105915,514,2822,205586,Movie,1,Finished Airing,"Jan 6, 2017",Shaft,Light novel,"Jan 6, 2017","Action,Mystery,Supernatural,Vampire"
Made in Abyss,24,8.84,291502,100,20837,555272,TV,13,Finished Airing,Summer 2017,Kinema Citrus,Web manga,R - 17+ (violence & profanity),"Sci-Fi,Adventure,Mystery,Drama,Fantasy"
Shigatsu wa Kimi no Uso,25,8.84,553303,29,51914,960901,TV,22,Finished Airing,Fall 2014,A-1 Pictures,Manga,PG-13 - Teens 13 or older,"Drama,Music,Romance,School,Shounen"
Cowboy Bebop,26,8.81,453617,39,48206,903288,TV,26,Finished Airing,Spring 1998,Sunrise,Original,R - 17+ (violence & profanity),"Action,Adventure,Comedy,Drama,Sci-Fi,Space"
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,27,8.79,37058,1051,1950,103297,TV,12,Finished Airing,Winter 2017,Studio Deen,Manga,PG-13 - Teens 13 or older,"Drama,Historical,Josei"
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,28,8.78,26378,1578,471,63105,TV,14,Finished Airing,Summer 2018,Bandai Namco Pictures,Manga,PG-13 - Teens 13 or older,"Action,Comedy,Historical,Parody,Samurai,Sci-Fi,Shounen"
Mononoke Hime,29,8.78,408498,78,13267,638880,Movie,1,Finished Airing,"Jul 12, 1997",Studio Ghibli,Original,"Jul 12, 1997","Action,Adventure,Fantasy"
Hajime no Ippo,30,8.77,143332,320,12881,292410,TV,75,Finished Airing,Fall 2000,Madhouse,Manga,PG-13 - Teens 13 or older,"Comedy,Sports,Drama,Shounen"
Monogatari Series: Second Season,31,8.77,203264,218,14970,387037,TV,26,Finished Airing,Summer 2013,Shaft,Light novel,R - 17+ (violence & profanity),"Mystery,Comedy,Supernatural,Romance,Vampire"
Mushishi Zoku Shou 2nd Season,32,8.77,61189,712,913,153114,TV,10,Finished Airing,Fall 2014,Artland,Manga,PG-13 - Teens 13 or older,"Adventure,Fantasy,Historical,Mystery,Seinen,Slice of Life,Supernatural"
Code Geass: Hangyaku no Lelouch,33,8.76,750691,11,74228,1201406,TV,25,Finished Airing,Fall 2006,Sunrise,Original,R - 17+ (violence & profanity),"Action,Military,Sci-Fi,Super Power,Drama,Mecha,School"
Gintama.: Shirogane no Tamashii-hen,34,8.76,34323,1356,627,78182,TV,12,Finished Airing,Winter 2018,Bandai Namco Pictures,Manga,PG-13 - Teens 13 or older,"Action,Sci-Fi,Comedy,Historical,Parody,Samurai,Shounen"
